GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paws,za.co.mwm.paws.paws.security,JwtTokenProvider,0,46,0,0,0,13,0,5,0,5
paws,za.co.mwm.paws.paws.security,SecurityConfig,0,228,0,0,0,25,0,5,0,5
paws,za.co.mwm.paws.paws.security,JwtAuthenticationFilter,0,51,0,4,0,14,0,3,0,1
paws,za.co.mwm.paws.paws.controller,DashboardController,0,28,0,0,0,6,0,2,0,2
paws,za.co.mwm.paws.paws.controller,SightingController,0,12,0,0,0,3,0,1,0,1
paws,za.co.mwm.paws.paws.controller,WildlifeController,0,5,0,0,0,1,0,1,0,1
paws,za.co.mwm.paws.paws.controller,GlobalExceptionHandler,7,11,0,0,2,3,1,2,1,2
paws,za.co.mwm.paws.paws.controller,IncidentController,14,45,0,0,2,6,2,6,2,6
paws,za.co.mwm.paws.paws.controller,UserAdminController,12,12,0,0,2,2,2,2,2,2
paws,za.co.mwm.paws.paws.controller,PatrolController,0,20,0,0,0,3,0,3,0,3
paws,za.co.mwm.paws.paws.controller,AuthController,5,12,0,0,2,2,1,2,1,2
paws,za.co.mwm.paws.paws.controller,AnalyticsController,0,11,0,0,0,2,0,2,0,2
paws,za.co.mwm.paws.paws.config,DataInitializer,4,429,1,1,2,49,1,6,0,6
paws,za.co.mwm.paws.paws.config,WebSocketConfig,0,40,0,0,0,6,0,3,0,3
paws,za.co.mwm.paws.paws.config,WebMvcConfig,0,33,0,0,0,8,0,2,0,2
paws,za.co.mwm.paws.paws.domain,Role,0,39,0,0,0,7,0,1,0,1
paws,za.co.mwm.paws.paws.domain,IncidentStatus,0,33,0,0,0,6,0,1,0,1
paws,za.co.mwm.paws.paws.domain,IncidentType,0,33,0,0,0,6,0,1,0,1
paws,za.co.mwm.paws.paws.service,AnalyticsService,0,115,0,2,0,30,0,6,0,5
paws,za.co.mwm.paws.paws.service,DashboardService,22,267,10,18,0,48,8,18,0,12
paws,za.co.mwm.paws.paws.service,PatrolService,0,133,0,0,0,38,0,6,0,6
paws,za.co.mwm.paws.paws.service,IncidentService,36,343,8,8,4,99,9,15,2,14
paws,za.co.mwm.paws.paws.service,UserAdminService,5,94,0,2,0,23,1,8,1,7
paws,za.co.mwm.paws.paws.service,FileStorageService,0,61,1,3,0,14,1,5,0,4
paws,za.co.mwm.paws.paws.service,WildlifeService,0,67,0,0,0,33,0,2,0,2
paws,za.co.mwm.paws.paws.service,AuthService,5,122,1,5,1,35,1,5,0,3
paws,za.co.mwm.paws.paws.service,SightingService,0,80,0,4,0,27,0,5,0,3
paws,za.co.mwm.paws.paws.service,NotificationService,0,6,0,0,0,2,0,1,0,1
